GitHub username,Bio,Public email (if available),Website (if available),Specific Issue/PR
theaniketgiri,AI/ML Engineer & Full-Stack Developer • Mumbai India,-,https://theaniketgiri.github.io/,LangChain Issue 36232
The-Nexus-Guard,Nexus Guard - Security focused,-,-,LangChain Issue 35393
sydney-runkle,Software engineer at @langchain Pydantic contributor,-,https://sydney-runkle.com/,LangChain PR 37579
Ashton-Sidhu,Machine Learning Engineer from Toronto,-,https://ashton-sidhu.github.io/blog/,LangChain Issue 35011
MartinRabaud,Lead Tech at Deepbloo,-,-,LangChain PR 32582
viftode4,Computer Science student at University of Sheffield,-,https://viftode4.github.io/,LlamaIndex Issue 21312
gautamvarmadatla,"Data Scientist @ Strategic Education, Inc.",-,-,LlamaIndex PR 21775
abhishek09827,-,-,https://ab-blog.hashnode.dev/,LlamaIndex PR 20787
WOLIKIMCHENG,Focusing,-,-,LlamaIndex PR 21754
up2itnow0822,-,-,-,LangChain Issue 36306
imran-siddique,-,-,-,LangChain Issue 36233
mdrxy,-,-,-,LangChain Issue 36952
nick-hollon-lc,-,-,-,LangChain PR 37643
vdineshk,-,-,-,LangChain Issue 37657
wkpark,-,-,-,LangChain PR 35466
nidhi1603,-,-,-,LangChain PR 37157
saakshigupta2002,-,-,-,LangChain PR 35424
staticpayload,-,-,-,LangChain PR 35364
T1mn,-,-,-,LangChain PR 37471
MukundaKatta,-,-,-,LangChain PR 37445
JulienRabault,-,-,-,LangChain PR 37008
dip9811111,-,-,-,LangChain PR 34014
anmolg1997,Software Engineer,-,-,LangChain PR 36940
towseef41,-,-,-,LangChain PR 34269
jitokim,-,-,-,LangChain PR 33932
hqkqn32,-,-,-,LangChain PR 32372
its-shashankY,-,-,-,LangChain PR 33140
rahulmansharamani14,-,-,-,LangChain PR 33141
KushagraaWadhwa,-,-,-,LangChain PR 33967
eeee2345,-,-,-,LlamaIndex Issue 21601
dgenio,-,-,-,LlamaIndex Issue 20386
Aigen-Protocol,-,-,-,LlamaIndex Issue 21688
mattref,-,-,-,LlamaIndex PR 21592
Ghraven,-,-,-,LlamaIndex PR 21773
devteamaegis,-,-,-,LlamaIndex PR 21771
octo-patch,-,-,-,LlamaIndex PR 21279
hashwnath,-,-,-,LlamaIndex PR 21272
Ricardo-M-L,-,-,-,LlamaIndex PR 21274
LinZiyuu,-,-,-,LlamaIndex PR 21676
Neelpatel1604,-,-,-,LlamaIndex PR 21425
CadeYu,-,-,-,LlamaIndex PR 21758
STiFLeR7,-,-,-,LlamaIndex PR 21760
NDNM1408,-,-,-,LlamaIndex PR 21755
xueshanlinghu,-,-,-,LlamaIndex PR 21248
DK09876,-,-,-,LlamaIndex PR 21267
kgarg2468,-,-,-,LlamaIndex PR 21753
Allen930311,-,-,-,LlamaIndex PR 21672
ATOM00blue,-,-,-,LlamaIndex PR 21751
adityasingh2400,-,-,-,LlamaIndex PR 21749
10ishq,-,-,-,LlamaIndex PR 21705
